사고누적지 사고지표,,,,,,,,,,,,,,,
지자체,,지점명,발생건수,사망건수,통합지수,보기,ACM_PLC_NO,SIDO_CD,JIJACE_CD,MOTOCY_CNT,CYCLE_CNT,WALK_CNT,DRK,POS_X,POS_Y
광역,기초,,,,,,,,,,,,,,
충북,괴산군,아미교 남단 사거리,7,0,2.267,,2020110437600005,43000,43760,1,0,0,0,270022.74,365792.55
충북,괴산군,괴산시외터미널 부근(남쪽),12,0,1.753,,2020110437600001,43000,43760,0,1,0,0,270858.6,367999.95
충북,괴산군,충청북도 괴산군 소수면 아성리 319-2 중원대에서소수방면  아성,5,1,1.500,,2020110437600004,43000,43760,0,0,0,0,267899.24,371055.9
충북,괴산군,대사삼거리(괴산중),8,0,1.573,,2020110437600002,43000,43760,0,1,0,0,270039.82,366928.17
충북,괴산군,금산삼거리(괴산지구대앞),7,0,1.207,,2020110437600006,43000,43760,1,0,0,0,270725.91,367737.13
충북,괴산군,,7,0,1.160,,2020110437600003,43000,43760,0,0,0,1,271046.31,368455.14
충북,괴산군,괴산시외터미널 부근(남쪽),6,0,0.973,,2020110437600009,43000,43760,1,0,0,0,270734.12,368080.34
충북,괴산군,시계탑사거리(괴산시외터미널),7,0,0.927,,2020110437600007,43000,43760,0,0,0,0,270892.02,368113.18
충북,괴산군,충청북도 괴산군 동진천길 71 제2괴산교,5,0,0.887,,2020110437600010,43000,43760,1,0,0,0,271236.99,368151
충북,괴산군,충청북도 괴산군 임꺽정로 82 서울 설계사무소앞노상,6,0,0.867,,2020110437600008,43000,43760,1,0,0,0,270277.89,368658.22
충북,단양군,단양시외버스터미널(남서),7,1,1.413,,2020110438000002,43000,43800,1,0,0,0,321892.84,388051.16
충북,단양군,단양시외버스터미널 앞 사거리,5,1,1.400,,2020110438000003,43000,43800,0,0,0,0,322088.42,388342.34
충북,단양군,중앙지구대 부근 사거리,9,0,1.533,,2020110438000001,43000,43800,5,0,0,0,321866.08,387813.89
충북,단양군,별곡사거리,7,0,1.247,,2020110438000004,43000,43800,1,0,0,0,321924.22,388363.49
충북,단양군,단양읍 상진리 384-3번지 사거리,6,0,1.107,,2020110438000005,43000,43800,0,0,0,0,319811.37,387362.88
충북,단양군,충청북도 단양군 단양로 1938 횡단보도 상,5,0,0.740,,2020110438000006,43000,43800,0,0,0,0,315858.23,393665.39
충북,보은군,충청북도 보은군 보은읍 교사리 454 충북생명산업고 앞 사거리,5,0,1.893,,2020110437200001,43000,43720,0,0,0,0,264305,332770.5
충북,보은군,보은 군청네거리,5,0,0.953,,2020110437200003,43000,43720,2,0,0,0,265473.95,332884.62
충북,보은군,삼산사거리(보은읍사무소 남쪽),6,0,0.867,,2020110437200002,43000,43720,0,1,0,0,264332.39,331927.25
충북,영동군,부용사거리(영동교 서단),9,1,2.167,,2020110437400002,43000,43740,0,0,0,1,269621.23,297599.7
충북,영동군,영동군청 앞 오거리,10,0,1.860,,2020110437400001,43000,43740,0,0,0,0,270331.3,297649.39
충북,영동군,중앙사거리,9,0,1.840,,2020110437400003,43000,43740,0,1,0,0,269941.49,297771.44
충북,영동군,매천삼거리(영동군민운동장),8,0,1.660,,2020110437400004,43000,43740,0,0,0,0,270724.89,296600.92
충북,영동군,매남사거리(매남교 동단),6,0,1.533,,2020110437400007,43000,43740,1,0,0,0,273937.63,310520.01
충북,영동군,충청북도 영동군 계산로 63 영동할인마트 앞,6,0,1.313,,2020110437400008,43000,43740,1,0,0,0,270516.4,297454.25
충북,영동군,영동군청 동쪽 삼거리,5,0,1.173,,2020110437400010,43000,43740,0,0,0,0,270732.14,297718.48
충북,영동군,부용사거리(영동교 서단),7,0,1.100,,2020110437400005,43000,43740,1,0,0,0,269773.03,297652.51
충북,영동군,영동경찰서 사거리(남쪽),5,0,1.033,,2020110437400009,43000,43740,1,0,0,0,269704.89,297868.26
충북,영동군,영동세무서 앞 사거리(동쪽),8,0,0.993,,2020110437400006,43000,43740,2,0,0,0,270256.87,297533.95
충북,영동군,중앙사거리,5,0,0.887,,2020110437400011,43000,43740,0,0,0,0,269886.77,297713.13
충북,옥천군,옥천읍 하계리 10-5번지 사거리,14,0,3.153,,2020110437300001,43000,43730,3,0,0,0,252481.23,313147.4
충북,옥천군,과선교사거리(마암교 동단),10,0,2.433,,2020110437300002,43000,43730,1,1,0,0,251049.47,310652.89
충북,옥천군,역전삼거리(옥천역),8,0,1.507,,2020110437300005,43000,43730,1,0,0,0,250900.94,311324.42
충북,옥천군,중앙교 남단 사거리,9,0,1.480,,2020110437300003,43000,43730,2,0,0,0,251126.28,311858.83
충북,옥천군,적하삼거리,5,0,1.320,,2020110437300010,43000,43730,0,0,0,0,255682.93,308254.74
충북,옥천군,백합유치원 부근 사거리(서북),6,1,1.207,,2020110437300006,43000,43730,1,0,0,0,250704.99,311685.57
충북,옥천군,삼양사거리(삼양교),8,0,1.327,,2020110437300004,43000,43730,0,1,0,0,250402.24,312578.4
충북,옥천군,월전교차로 월전교차로,6,0,1.227,,2020110437300009,43000,43730,0,0,0,0,249342.15,312117.73
충북,옥천군,옥천IC 사거리,8,0,1.053,,2020110437300007,43000,43730,0,0,0,0,251455.48,312235.69
충북,옥천군,보금자리노인전문요양원(서쪽),5,0,1.007,,2020110437300011,43000,43730,0,0,0,1,252405.08,311620.32
충북,옥천군,군남초 부근 삼거리(서쪽),5,0,1.007,,2020110437300013,43000,43730,1,0,0,1,252139.24,309048.8
충북,옥천군,옥천 통계청 사거리,6,0,0.987,,2020110437300008,43000,43730,1,0,0,1,251246.61,311805.42
충북,옥천군,옥천여자중학교 앞 도로,5,0,0.887,,2020110437300015,43000,43730,0,0,0,0,251321.66,311996.89
충북,옥천군,백합유치원 부근 사거리(서북),5,0,0.827,,2020110437300014,43000,43730,0,0,0,0,250614.14,311649.09
충북,옥천군,장야주공아파트 1단지 정문 입구,5,0,0.767,,2020110437300016,43000,43730,1,0,0,0,251887.98,311014.38
충북,옥천군,금구리 16-3번지,5,0,0.767,,2020110437300012,43000,43730,0,0,0,0,250998.4,311632.06
충북,옥천군,금구리 16-3번지,5,0,0.633,,2020110437300017,43000,43730,0,0,0,0,251100.53,311614.58
충북,음성군,충청북도 음성군 산내로 308 대소터미널 앞 사거리,21,1,4.180,,2020110437700001,43000,43770,1,0,0,0,242990.91,385780.06
충북,음성군,하당삼거리(당촌교 북단),9,0,2.673,,2020110437700008,43000,43770,0,0,0,0,261122.58,379375.25
충북,음성군,내산교 서단 사거리,10,0,2.487,,2020110437700005,43000,43770,0,0,0,0,241087.95,383327.01
충북,음성군,오산사거리(대소119 부근),12,0,2.400,,2020110437700003,43000,43770,0,0,0,1,243324.53,385879.85
충북,음성군,무극교 서단 사거리,16,0,2.433,,2020110437700002,43000,43770,0,0,0,0,252909.28,388450.29
충북,음성군,음성 T.G 초입 삼거리,8,0,2.373,,2020110437700013,43000,43770,0,0,0,0,241288.76,387000.66
충북,음성군,종합운동장사거리,12,0,2.340,,2020110437700004,43000,43770,0,0,0,0,261418.57,381502.78
충북,음성군,평곡사거리,8,0,2.253,,2020110437700014,43000,43770,0,0,0,1,262178.76,381341.69
충북,음성군,충청북도 음성군 장성1길 9 영무예다음3차뒤편 교차로,8,0,1.933,,2020110437700015,43000,43770,0,0,0,1,247772.78,379148.22
충북,음성군,충청북도 음성군 응천서길 25 응천교 교차로,8,0,1.873,,2020110437700012,43000,43770,1,0,0,0,252979.71,388183.54
충북,음성군,수정교 서단 사거리,8,0,1.720,,2020110437700007,43000,43770,1,0,0,0,261744,382021.72
충북,음성군,금왕읍 오선리 산 34번지 사거리,7,0,1.713,,2020110437700019,43000,43770,0,0,0,1,250494.84,387186.05
충북,음성군,충청북도 음성군 장감로 167 앞 교차로,7,0,1.660,,2020110437700022,43000,43770,0,0,0,0,256946.99,402358.76
충북,음성군,음성교 북단 사거리,9,0,1.647,,2020110437700017,43000,43770,0,0,0,0,261472.61,382263.41
충북,음성군,오산교 동단 사거리,10,0,1.627,,2020110437700009,43000,43770,0,0,0,0,243438.83,385451.27
충북,음성군,음성오류사거리(오규교 서단),10,0,1.580,,2020110437700006,43000,43770,1,0,0,2,242227.65,386338.3
충북,음성군,충청북도 음성군 원중로 1424 gs25 혁신도시점 앞 사거리,9,0,1.460,,2020110437700010,43000,43770,2,0,0,1,248321.73,379012.03
충북,음성군,감곡사거리,8,0,1.460,,2020110437700018,43000,43770,1,1,0,2,257149.84,401833.59
충북,음성군,중앙사거리(음성공용버스터미널),7,1,1.320,,2020110437700016,43000,43770,0,0,0,0,261427.3,381936.02
충북,음성군,충청북도 음성군 맹동면 두성리 1500 KB빌딩 앞 사거리,7,0,1.493,,2020110437700029,43000,43770,0,0,0,0,248475.75,378639.67
충북,음성군,충청북도 음성군 대동로235번길 9 마산교차로(21번 국도 밑),7,0,1.427,,2020110437700026,43000,43770,0,0,0,0,248534.66,382096.51
충북,음성군,일억조식당,9,0,1.420,,2020110437700011,43000,43770,1,1,0,0,257150.83,402216.77
충북,음성군,신천삼거리,8,0,1.387,,2020110437700020,43000,43770,1,0,0,1,261662.99,380107.42
충북,음성군,충청북도 음성군 덕금로 166 본성교차로 21번국도 위,7,0,1.387,,2020110437700025,43000,43770,0,0,0,0,247936.91,380662.74
충북,음성군,상노교 좌측 사거리,6,0,1.340,,2020110437700027,43000,43770,0,0,0,0,260757.94,378128.78
충북,음성군,충청북도 음성군 금석로 77 무극터미널  앞 도로,6,0,1.093,,2020110437700024,43000,43770,1,0,0,0,253167.21,388294.57
충북,음성군,금왕읍행정복지센터 앞 사거리,6,0,1.060,,2020110437700028,43000,43770,0,0,0,0,252203.25,388206.47
충북,음성군,음성금왕두진하트리움  북서 사거리,7,1,0.933,,2020110437700021,43000,43770,0,0,0,1,252886.36,387861.9
충북,음성군,감곡사거리,7,0,1.073,,2020110437700030,43000,43770,0,0,0,0,257128.38,401730.43
충북,음성군,음성효자요양병원 부근,8,0,1.053,,2020110437700023,43000,43770,0,0,0,0,244490.6,385391.76
충북,제천시,청전교차로(제천중앙초 남서),22,1,4.527,,2020110431500002,43000,43150,2,0,0,1,307872.53,406513.95
충북,제천시,중앙교차로(국민은행 제천지점),26,0,4.500,,2020110431500001,43000,43150,3,0,0,0,307692.61,405343.4
충북,제천시,제천중앙시장 앞 사거리,22,1,4.107,,2020110431500003,43000,43150,1,0,0,1,307657.58,404775.93
충북,제천시,제천중앙시장 부근(서쪽),20,0,3.533,,2020110431500004,43000,43150,1,1,0,0,307485.25,404821.05
충북,제천시,역전교차로(제천역 북쪽),20,0,3.527,,2020110431500005,43000,43150,2,1,0,1,307197.79,404121.18
충북,제천시,제천중 사거리(남서),11,0,3.313,,2020110431500011,43000,43150,0,0,0,1,306848.67,405060.82
충북,제천시,중앙로1가 210번지,20,0,3.313,,2020110431500006,43000,43150,2,1,0,0,307819.38,405019.91
충북,제천시,제천제일고 사거리(남동),16,0,3.133,,2020110431500008,43000,43150,1,0,0,2,308550.53,404491.49
충북,제천시,남당교차로(남당초 앞),19,0,2.973,,2020110431500007,43000,43150,0,0,0,0,306995.25,404205.15
충북,제천시,화산교차로(동명초 남쪽),12,0,2.540,,2020110431500014,43000,43150,0,0,0,0,307408.33,404608.53
충북,제천시,서부사거리(제천서울병원),12,0,2.413,,2020110431500013,43000,43150,1,0,0,0,307176.42,404950.49
충북,제천시,대원주유소,9,0,2.267,,2020110431500020,43000,43150,1,0,0,0,303234.62,405673.09
충북,제천시,서부교 서단 사거리,15,0,2.220,,2020110431500009,43000,43150,1,0,0,0,306749.34,405114.32
충북,제천시,고명교차로(동쪽),11,0,2.180,,2020110431500016,43000,43150,0,0,0,0,309263.8,402800.39
충북,제천시,청전교차로(제천중앙초),12,1,1.853,,2020110431500010,43000,43150,1,0,0,0,307914.29,406375.1
충북,제천시,중앙로1가 210번지,14,0,2.027,,2020110431500012,43000,43150,2,0,0,1,307762.05,404886.54
충북,제천시,청주지검 제천지청 앞 사거리,10,0,1.940,,2020110431500021,43000,43150,1,0,0,0,307779.24,405611
충북,제천시,제천역 부근 삼거리(남서),10,0,1.947,,2020110431500023,43000,43150,1,0,0,0,306860.47,403581.13
충북,제천시,금용아파트 남서 사거리,11,0,1.827,,2020110431500019,43000,43150,0,0,0,0,308135.63,407089.62
충북,제천시,강저휴먼시아3차 북동 사거리,11,0,1.720,,2020110431500017,43000,43150,1,0,0,0,306774.12,403259.51
충북,제천시,남당교차로(남당초 앞),10,0,1.707,,2020110431500024,43000,43150,2,0,0,0,306945.04,404049.81
충북,제천시,중앙지구대 북동 오거리,12,0,1.707,,2020110431500015,43000,43150,1,0,0,0,307899.64,405167.41
충북,제천시,칠성교차로(의림초 서북),12,0,1.693,,2020110431500018,43000,43150,1,0,0,0,307011.61,405657.98
충북,제천시,시민탑교차로(남당초),10,0,1.567,,2020110431500026,43000,43150,0,0,0,1,306732.5,404321.83
충북,제천시,바이오밸리(북동),10,0,1.567,,2020110431500025,43000,43150,0,0,0,0,304297.38,407148.43
충북,제천시,화산교차로(동명초 남쪽),6,0,1.373,,2020110431500028,43000,43150,1,0,0,0,307339.53,404564.15
충북,제천시,제천중앙시장 부근(서쪽),11,0,1.333,,2020110431500022,43000,43150,2,0,0,0,307602.72,405123.82
충북,제천시,역전교차로(제천역 북쪽),9,1,1.133,,2020110431500027,43000,43150,0,0,0,0,307159.5,403983.91
충북,제천시,중앙교차로(국민은행 제천지점),5,0,0.753,,2020110431500029,43000,43150,0,0,0,0,307664.86,405292.23
충북,제천시,제천중앙시장 앞 사거리,5,0,0.500,,2020110431500030,43000,43150,0,0,0,0,307704.13,404866.22
충북,증평군,초중4거리(파라디아2차 북서),14,1,2.807,,2020110437450001,43000,43745,1,0,0,0,251159.53,365144.72
충북,증평군,군청사거리(증평대교 남단),10,2,2.400,,2020110437450002,43000,43745,1,0,0,1,251879.1,365480.63
충북,증평군,윗장뜰사거리(증평주공5단지부근),12,0,2.373,,2020110437450003,43000,43745,2,0,0,0,252366.35,365665.26
충북,증평군,충청북도 증평군 초중로 92,10,0,2.233,,2020110437450004,43000,43745,2,1,0,0,251131.91,364878.46
충북,증평군,농협하나로마트 앞,9,0,1.947,,2020110437450007,43000,43745,1,0,0,0,251621.78,365901.47
충북,증평군,연탄사거리,10,0,1.693,,2020110437450005,43000,43745,1,0,0,0,250780.67,365659.97
충북,증평군,수로물류,11,0,1.653,,2020110437450008,43000,43745,0,0,0,0,251588.61,365358.06
충북,증평군,충청북도 증평군 증평읍 송산리 1022 장미대교 사거리,11,0,1.487,,2020110437450006,43000,43745,1,0,0,0,252152.51,365999.29
충북,증평군,증평군청 남동 사거리,9,1,1.333,,2020110437450009,43000,43745,0,1,0,0,251967.73,365367.04
충북,증평군,증평백화점약국 앞 백화점약국앞노상,7,0,1.160,,2020110437450011,43000,43745,0,0,0,0,252029.64,365197.29
충북,증평군,충청북도 증평군 초중6길 72 증평선거관리위원회 사거리,5,0,1.147,,2020110437450014,43000,43745,0,0,0,0,251240.09,364661.93
충북,증평군,실내수영장  앞,6,0,1.153,,2020110437450013,43000,43745,0,0,0,0,251170.78,365672.02
충북,증평군,증평소방서 부근 사거리(남쪽),5,0,1.067,,2020110437450015,43000,43745,0,0,0,0,252092.73,365568.78
충북,증평군,형석고 버스정류장 앞,5,0,1.007,,2020110437450016,43000,43745,0,1,0,1,253125.99,365991.37
충북,증평군,충북원예농협 앞 삼거리,6,0,0.927,,2020110437450012,43000,43745,0,0,0,1,251539.74,364753.53
충북,증평군,증평군청 남동 사거리,9,0,0.733,,2020110437450010,43000,43745,2,0,0,0,251955.31,365254.93
충북,증평군,BYC 앞 사거리,5,0,0.633,,2020110437450018,43000,43745,1,0,0,0,251982.17,365091.99
충북,증평군,,5,0,0.633,,2020110437450017,43000,43745,1,0,0,0,251015.4,364773.8
충북,증평군,증평중 북쪽 사거리,5,0,0.560,,2020110437450019,43000,43745,0,0,0,1,251603.69,364959.96
충북,진천군,벽암사거리(진천시외버스터미널),16,0,4.100,,2020110437500001,43000,43750,2,0,0,0,239105.62,373680.45
충북,진천군,신성사거리(성석리 627-3번지),15,1,2.973,,2020110437500002,43000,43750,1,0,0,0,240202.16,373858.26
충북,진천군,성석사거리(진천중 부근),11,0,2.007,,2020110437500004,43000,43750,0,0,0,2,239505.78,374063.71
충북,진천군,진천읍사무소 앞 사거리,10,0,1.887,,2020110437500007,43000,43750,0,0,0,0,239386.53,372955.6
충북,진천군,벽암사거리(진천시외버스터미널),11,0,1.873,,2020110437500006,43000,43750,2,0,0,1,238959.33,373531.62
충북,진천군,충청북도 진천군 백사천길 87 전통시장 가기전 사거리,11,0,1.873,,2020110437500005,43000,43750,1,0,0,0,240103.25,373450.57
충북,진천군,진암사거리,7,1,1.660,,2020110437500013,43000,43750,0,0,0,1,245626.5,363532.11
충북,진천군,진천대교 남단 부근 삼거리,14,0,1.820,,2020110437500003,43000,43750,2,1,0,1,239611.24,373411.98
충북,진천군,진천고교 북서 사거리,9,0,1.707,,2020110437500014,43000,43750,0,0,0,0,240058.55,373008.14
충북,진천군,안골삼거리(진천TG),9,0,1.660,,2020110437500010,43000,43750,0,1,0,0,241764.86,374808.85
충북,진천군,광혜원푸른숲 아파트 부근(북쪽),9,1,1.400,,2020110437500008,43000,43750,1,0,0,1,239517.34,387887.75
충북,진천군,만승교사거리,7,0,1.520,,2020110437500019,43000,43750,0,0,0,1,239833.36,387909.42
충북,진천군,앞 노상 혁신도시 뚜레주르 앞 노상,7,0,1.520,,2020110437500020,43000,43750,0,0,0,0,247586.96,378333.88
충북,진천군,시민지역아동센터 북쪽 오거리,8,0,1.453,,2020110437500012,43000,43750,1,0,0,1,239652.98,372891.97
충북,진천군,충청북도 진천군 용몽로 2 신흥지업사 앞 사거리,11,0,1.467,,2020110437500009,43000,43750,1,0,0,0,245275.89,379107.12
충북,진천군,행정교차로,8,0,1.393,,2020110437500011,43000,43750,0,0,0,0,238283.04,373722.16
충북,진천군,용몽사거리(덕산파출소 앞),9,0,1.407,,2020110437500015,43000,43750,0,0,0,1,245053.47,379359.06
충북,진천군,벽암사거리(진천시외버스터미널),8,0,1.320,,2020110437500017,43000,43750,0,0,0,0,239112.77,373460.39
충북,진천군,가산교차로,6,0,1.307,,2020110437500025,43000,43750,1,0,0,1,242346.02,375401.15
충북,진천군,진천읍사무소 앞 사거리,8,0,1.260,,2020110437500016,43000,43750,0,0,0,0,239541.52,372971.42
충북,진천군,,9,0,1.273,,2020110437500018,43000,43750,4,0,0,0,243540.26,379082.01
충북,진천군,진천고교 북서 사거리,7,0,1.207,,2020110437500021,43000,43750,0,0,0,0,240073.07,373101.26
충북,진천군,신정사거리(진천신정주공),7,0,1.093,,2020110437500023,43000,43750,1,1,0,0,240009.51,372437.64
충북,진천군,안골삼거리(진천TG),5,0,1.053,,2020110437500029,43000,43750,0,0,0,0,241701.07,374764.5
충북,진천군,광혜원교차로,6,0,1.007,,2020110437500024,43000,43750,0,0,0,0,238661.37,387239.98
충북,진천군,진천성모병원 부근 사거리,7,0,0.953,,2020110437500022,43000,43750,1,1,0,0,239510.5,373354.42
충북,진천군,,6,0,0.927,,2020110437500026,43000,43750,0,0,0,0,239982.04,362766.31
충북,진천군,광혜원우체국 부근 삼거리(서쪽),5,1,0.633,,2020110437500027,43000,43750,2,0,0,0,239406.02,387939.19
충북,진천군,한천교 서단 부근,5,0,0.693,,2020110437500028,43000,43750,1,1,0,0,244992.65,379319.73
충북,진천군,용몽사거리(덕산파출소 앞),5,0,0.633,,2020110437500030,43000,43750,0,0,0,2,245129.21,379415.48
충북,청주시,사창사거리(제이슨타워),70,0,12.013,,2020110431100001,43000,43110,8,2,0,0,241153.42,348596.27
충북,청주시,분평사거리(충북교육청 동쪽),32,0,7.193,,2020110431100012,43000,43110,0,3,0,0,243103.26,345523.08
충북,청주시,터미널사거리(청주고속버스),40,0,7.193,,2020110431100003,43000,43110,2,0,0,3,238316.76,347910.21
충북,청주시,금석교사거리(석교초 남쪽),36,0,6.907,,2020110431100005,43000,43110,1,3,0,1,244143.35,347515.36
충북,청주시,제2운천교 동단 사거리,41,0,6.907,,2020110431100002,43000,43110,2,1,0,2,242455.96,351097.14
충북,청주시,내덕칠거리(내덕동우체국 북쪽),34,0,6.820,,2020110431100008,43000,43110,3,0,0,2,243657.5,351094.4
충북,청주시,석곡사거리,39,0,6.907,,2020110431100004,43000,43110,1,0,0,0,237934.71,345774.3
충북,청주시,내덕삼거리(대성초 서쪽),30,0,6.460,,2020110431100014,43000,43110,4,0,0,0,243607.9,350822.02
충북,청주시,율량교차로(율량중 부근),30,3,6.007,,2020110431100011,43000,43110,0,0,0,1,243199.41,352993.84
충북,청주시,율량2지구9블럭 네거리,24,0,6.273,,2020110431100025,43000,43110,0,0,0,0,245787.69,351621.72
충북,청주시,사천교 남단 부근 사거리,35,1,5.953,,2020110431100006,43000,43110,2,2,0,1,243512.59,351833.96
충북,청주시,서청주교사거리(화물터미널부근),37,0,6.020,,2020110431100010,43000,43110,1,0,0,0,237793.53,349831.31
충북,청주시,충대사거리(복대공원 남서),33,0,5.847,,2020110431100013,43000,43110,1,0,0,0,240500.5,348526.84
충북,청주시,창리사거리 부근 삼거리(서쪽),29,0,5.760,,2020110431100017,43000,43110,0,0,0,0,240907.92,359991.94
충북,청주시,금천육거리(금천동주민센터부근),35,1,5.613,,2020110431100009,43000,43110,1,0,0,0,244626.68,347491.86
충북,청주시,산남사거리(청주교육지원청),37,0,5.747,,2020110431100007,43000,43110,2,0,0,0,242107.94,346462.31
충북,청주시,솔밭공원사거리,27,0,5.200,,2020110431100021,43000,43110,0,0,0,0,238931.11,349623.14
충북,청주시,구룡택지 사거리,23,2,4.847,,2020110431100019,43000,43110,1,0,0,1,237087.47,357654
충북,청주시,모충사거리(남부119안전센터),30,0,5.120,,2020110431100018,43000,43110,2,1,0,1,243720.33,347483.14
충북,청주시,청주시외버스터미널(북서),35,0,5.060,,2020110431100015,43000,43110,3,0,0,0,238551.79,347539.27
충북,청주시,산업단지육거리교차로(복대시장),31,0,4.913,,2020110431100016,43000,43110,1,0,0,0,240012.38,348509.29
충북,청주시,형석아파트2단지(201동),28,0,4.827,,2020110431100020,43000,43110,4,1,0,1,239006.8,348343.99
충북,청주시,청주하나병원 사거리(남쪽),27,0,4.607,,2020110431100026,43000,43110,0,0,0,3,238665.23,347271.75
충북,청주시,방서사거리(무농정지 북서),28,0,4.447,,2020110431100022,43000,43110,2,0,0,2,244822.68,345393.96
충북,청주시,청대사거리,28,0,4.353,,2020110431100023,43000,43110,0,0,0,1,243745.78,350472.58
충북,청주시,사창동 주민센터 북동 삼거리,28,0,4.000,,2020110431100027,43000,43110,1,1,0,0,241174.08,348471.32
충북,청주시,복대사거리(서원초 북서),28,0,3.733,,2020110431100024,43000,43110,2,0,0,2,239451.93,348355.31
충북,청주시,사창동주민센터 앞 사거리,14,0,2.040,,2020110431100028,43000,43110,1,0,0,0,241102.41,348594
충북,청주시,사창사거리(제이슨타워),10,0,1.640,,2020110431100029,43000,43110,0,0,0,0,241148.13,348650.26
충북,청주시,청주시외버스터미널 앞(서쪽),7,0,1.000,,2020110431100030,43000,43110,0,0,0,0,238495.89,347515.97
충북,충주시,법원사거리,32,0,6.113,,2020110431300001,43000,43130,2,1,0,1,282654.3,387454.93
충북,충주시,호암사거리(충주국민체육센터),25,1,5.673,,2020110431300003,43000,43130,0,0,0,0,282565.1,385006.29
충북,충주시,제1로타리교차로,32,0,5.767,,2020110431300002,43000,43130,1,0,0,1,283097.28,386354.73
충북,충주시,달천사거리(건국대사거리),21,1,5.000,,2020110431300007,43000,43130,1,0,0,0,280718.94,385630.91
충북,충주시,대가미사거리(건국대충주병원),25,0,4.900,,2020110431300005,43000,43130,2,0,0,0,282642.74,386987.65
충북,충주시,칠금동우체국 앞 사거리,17,1,4.540,,2020110431300010,43000,43130,1,0,0,1,282068.07,387443.85
충북,충주시,칠금사거리(충주공용버스터미널),29,0,4.760,,2020110431300004,43000,43130,0,0,0,1,281283.43,387304.67
충북,충주시,체육관사거리(종합운동장),24,1,4.213,,2020110431300006,43000,43130,1,1,0,0,283197.5,387466.79
충북,충주시,교동사거리(성내교 북단),17,1,3.807,,2020110431300011,43000,43130,1,0,0,0,283571.24,386216.15
충북,충주시,금릉사거리(충주세무서 남쪽),21,0,3.867,,2020110431300008,43000,43130,1,0,0,0,281704.83,388029.23
충북,충주시,예성사거리(예성교 북단),20,0,3.913,,2020110431300012,43000,43130,2,0,0,0,283229.87,386445.47
충북,충주시,호암동 454-9번지 사거리,15,0,3.767,,2020110431300017,43000,43130,1,1,0,0,281949.19,384360.75
충북,충주시,첨단삼거리,18,2,3.440,,2020110431300009,43000,43130,1,0,0,0,273548.68,386367.64
충북,충주시,영광장례식장 부근 사거리(서쪽),14,0,3.700,,2020110431300021,43000,43130,0,0,0,0,282718.61,389687.34
충북,충주시,백남진달래 아파트 부근(동쪽),13,0,3.647,,2020110431300028,43000,43130,0,0,0,0,271415.49,386593.55
충북,충주시,삼원로터리(삼원초 앞),16,1,3.287,,2020110431300015,43000,43130,0,1,0,0,282370.43,386642.06
충북,충주시,임광사거리(까치골임광 101동),18,0,3.380,,2020110431300013,43000,43130,1,0,0,1,282648.41,388005.17
충북,충주시,연수초 앞 사거리,18,0,3.333,,2020110431300016,43000,43130,1,0,0,3,283609.92,387996.21
충북,충주시,충주공용버스터미널 북동 삼거리,19,0,3.320,,2020110431300014,43000,43130,0,0,0,2,281581.84,387443.3
충북,충주시,충주 문화사거리(이마트 앞),15,0,3.180,,2020110431300019,43000,43130,0,1,0,1,282213.59,386405.12
충북,충주시,칠금금릉동주민센터 앞,14,0,3.080,,2020110431300022,43000,43130,3,1,0,1,281780.86,387458.35
충북,충주시,호수사거리(호암저수지 북동),16,0,2.893,,2020110431300020,43000,43130,0,0,0,0,282270.99,385763.11
충북,충주시,부만삼거리(충주의료원 북쪽),15,0,2.733,,2020110431300018,43000,43130,1,1,0,0,282776.73,386430.09
충북,충주시,충주여자상고 부근(남동),13,0,2.620,,2020110431300025,43000,43130,2,0,0,0,283695.23,386991.17
충북,충주시,주덕오거리(주덕보건지소 북서),15,0,2.513,,2020110431300023,43000,43130,0,1,0,1,270579.8,386650.19
충북,충주시,충주여고 사거리(북동),12,0,2.373,,2020110431300027,43000,43130,1,1,0,0,283677.83,385351.29
충북,충주시,세영리첼1단지아파트 부근(서남),16,0,2.367,,2020110431300024,43000,43130,0,0,0,1,283657.48,387703.32
충북,충주시,충주 주공1단지(105동),14,0,2.173,,2020110431300026,43000,43130,2,0,0,1,282939.26,388058.72
충북,충주시,충주 문화사거리(이마트 앞),11,0,1.967,,2020110431300030,43000,43130,0,1,0,0,282260.22,386481.4
충북,충주시,충주시립도서관 앞 사거리(동쪽),14,0,1.660,,2020110431300029,43000,43130,3,2,0,0,283261.52,386705.76
,,합계,"2,861",35,,,,,,,,,,,
